CN Future/中國期貨,,,,"需要更多產品請聯繫客服或官網查詢
客服：https://t.me/iticksupport
官網：https://itick.org"
Code,Description,type,region,
FG,Flat Glass Futures,future,cn,
RB,Steel Rebar Futures,future,cn,
FU,燃料油 期货合约 (Apr 2026),future,cn,
IM,中证1000股指期货 (Sep 2025),future,cn,
IF,沪深300股指期货 (Sep 2025),future,cn,
AU,黄金 期货合约 (Jul 2025),future,cn,
AG,白银 期货合约 (Apr 2026),future,cn,
TL,30年期国债期货 (Dec 2025),future,cn,
OI,Rapeseed Oil Futures,future,cn,
MA,Methanol Futures,future,cn,
IH,上证50股指期货 (Sep 2025),future,cn,
HC,热轧卷板 期货合约 (Apr 2026),future,cn,
RU,天然橡胶 期货合约 (Apr 2026),future,cn,
SA,Soda Ash Futures,future,cn,
SR,White Sugar Futures,future,cn,
IC,中证500股指期货 (Sep 2025),future,cn,
CU,Copper Cathode Futures,future,cn,
RM,Rapeseed Meal Futures,future,cn,
CF,Cotton Futures,future,cn,
SP,纸浆 期货合约 (Apr 2026),future,cn,
T,10年期国债期货 (Dec 2025),future,cn,
SH,Sodium Hydroxide Futures,future,cn,
TA,Purified Terephthalic Acid (PTA) Futures,future,cn,
SN,Tin Futures,future,cn,
UR,Urea Futures,future,cn,
NI,镍 期货合约 (Apr 2026),future,cn,
ZN,锌 期货合约 (Apr 2026),future,cn,
AP,Fresh Apple Futures,future,cn,
AO,Aluminum Oxide Futures,future,cn,
AL,铝 期货合约 (Apr 2026),future,cn,
SS,Stainless Steel Futures,future,cn,
BR,丁二烯橡胶 期货合约 (Apr 2026),future,cn,
BU,石油沥青 期货合约 (Apr 2026),future,cn,
SM,Manganese Silicon Futures,future,cn,
TF,5年期国债期货 (Dec 2025),future,cn,
TS,2年期国债期货 (Dec 2025),future,cn,
PF,Polyester Staple Fiber Futures,future,cn,
PB,铅 期货合约 (Apr 2026),future,cn,
PK,Peanut Kernel Futures,future,cn,
CJ,Dried Jujube Futures,future,cn,
SF,Ferrosilicon Futures,future,cn,
PX,p-Xylene Futures,future,cn,
PR,Polyethylene Terephthalate Resin For Bottles Futures,future,cn,
ZC,Thermal Coal Futures,future,cn,
CY,Cotton Yarn futures,future,cn,
WR,Wire Rod Futures,future,cn,
PM,Common Wheat Futures,future,cn,
RS,Rapeseed Futures,future,cn,
JR,Medium to Short-Grain Nonglutinous Paddy Futures,future,cn,
RI,Early Long-Grain Nonglutinous Paddy Futures,future,cn,
WH,Strong Gluten Wheat Futures,future,cn,
LR,Late Long-Grain Nonglutinous Paddy Futures,future,cn,
LR,Late Long-Grain Nonglutinous Paddy Futures,future,cn,
