US Future/美國期貨,,,,,,,,"需要更多產品請聯繫客服或官網查詢
客服：https://t.me/iticksupport
官網：https://itick.org"
"交易時間：交易所时区 America/New_York
例如：ES：17:00-16:00 (周日-周五)
周日开始 17:00开市到第二天的16:00休市，中间16:00 ～ 17:00休市
依此类推每周一至周五都是16:00 ～ 17:00休市
周六、日休市
",,,,,,,,
Exchange,Code,Description,DescriptionCN,ProductType,TradingHours,type,region,zone
CME,ES,E-mini S&P 500 Futures,E-迷你标普 500 指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,NQ,E-mini Nasdaq-100 Futures,E-迷你纳斯达克 100 期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,MNQ,Micro E-mini Nasdaq-100 Index Futures,微型 E-迷你纳斯达克 100 指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,MES,Micro E-mini S&P 500 Index Futures,微型 E-迷你 S&P 500 指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CBOT,YM,E-mini Dow Jones Industrial Average Index Futures,E-迷你道琼斯工业平均指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,M2K,Micro E-mini Russell 2000 Index Futures,微型 E-迷你罗素 2000 指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,RTY,E-mini Russell 2000 Index Futures,E-迷你罗素 2000 指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CBOT,MYM,Micro E-mini Dow Jones Industrial Average Index Futures,微型E-迷你道琼斯工业平均指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,NIY,Nikkei (JPY) Futures,日经指数（日元）期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,NKD,Nikkei (USD) Futures,日经指数（美元）期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,XAU,E-mini Utilities Select Sector Futures,E-迷你公用事业精选行业期货,世界经济,17:00-16:00 (周日-周五),future,us,
CBOT,AW,Bloomberg Commodity Index Futures,彭博商品指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,ES1,Nearby BTIC+ Futures on E-mini S&P 500 Stock Price Index Futures,E-mini S&P 500 股票价格指数期货附近的 BTIC+ 期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,SOX,E-mini PHLX Semiconductor Sector Futures,E-mini PHLX 半导体板块期货,世界经济,17:00-16:00 (周日-周五),future,us,
ICEUS,MME,MSCI Emerging Markets Index Futures,MSCI 新兴市场指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,EMD,E-mini S&P MidCap 400 Futures,E-mini S&P MidCap 400 期货,世界经济,17:00-16:00 (周日-周五),future,us,
ICEUS,FNG,MICRO NYSE FANG+™ Index Futures,MICRO NYSE FANG+™ 指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,MNK,Micro Nikkei (USD) Futures,微型日经指数（美元）期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,QCN,E-mini Nasdaq Composite Futures,E-迷你纳斯达克综合期货,世界经济,17:00-16:00 (周日-周五),future,us,
CBOT,ADR,Adjusted Interest Rate Dow Jones Industrial Average Total Return (EFFR) Futures,调整利率道琼斯工业平均总回报率 (EFFR) 期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,NDA,Nasdaq-100 Annual Dividend Index Futures,纳斯达克 100 年度股息指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,TPY,TOPIX (JPY) Futures,东证指数（日元）期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,XAP,E-mini Consumer Staples Select Sector Futures,E-迷你必需消费品精选行业期货,世界经济,17:00-16:00 (周日-周五),future,us,
ICEUS,CAD,MSCI Canada GTR Index Futures,MSCI 加拿大 GTR 指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,ENY,E-mini Nikkei 225 (JPY) Futures,E-迷你日经 225 (日元) 期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,ESG,E-mini S&P 500 ESG Index Futures,E-mini S&P 500 ESG 指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,FT1,E-mini FTSE 100 Index (GBP) Futures,E-迷你 FTSE 100 指数（英镑）期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,GD,S&P-GSCI Commodity Index Futures,标准普尔高盛商品指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,IPO,E-mini IPOX 100 U.S. Index Futures,E-mini IPOX 100 美国指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
ICEUS,MCE,MSCI Europe Index Futures,MSCI 欧洲指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,MMC,Micro E-mini S&P MidCap 400 Futures,微型 E-迷你 S&P MidCap 400 期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,MNI,Micro Nikkei (JPY) Futures,微型日经指数（日元）期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,MSC,Micro E-mini S&P SmallCap 600 Futures,微型 E-mini S&P SmallCap 600 期货,世界经济,17:00-16:00 (周日-周五),future,us,
ICEUS,MTP,MSCI Emerging Markets ex China ex Taiwan Price Index Futures,MSCI 新兴市场（中国除外）价格指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
ICEUS,MUV,MSCI USA Minimum Volatility GTR Index Futures,MSCI 美国最低波动率 GTR 指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
ICEUS,MVA,MSCI USA Total Return Index Futures,MSCI 美国总回报指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
ICEUS,MWA,MSCI World Total Return Index Futures,MSCI 世界总回报指数期货,世界经济,17:00-16:00 (周日-周五),future,us,
CME,NQQ,TACO on E-mini Nasdaq-100 Futures,E-mini 纳斯达克 100 期货上的 TACO,世界经济,17:00-16:00 (周日-周五),future,us,
CBOT,RX,Dow Jones Real Estate Futures,道琼斯房地产期货,世界经济,17:00-16:00 (周日-周五),future,us,
